# OpenScale raw session
# started_at_utc,2026-06-09T09:52:05.837219+00:00
# started_at_unix,1780998725.837219
# port,/dev/ttyUSB0
# baudrate,115200
timestamp_unix,timestamp_utc,elapsed_s,raw_text,value_kg,unit,is_numeric
1780998736.272436,2026-06-09T09:52:16.272436+00:00,10.435217,"2.797,kg,",2.797000,kg,1
1780998736.304304,2026-06-09T09:52:16.304304+00:00,10.467085,"2.576,kg,",2.576000,kg,1
1780998736.320371,2026-06-09T09:52:16.320371+00:00,10.483152,"2.184,kg,",2.184000,kg,1
1780998736.352398,2026-06-09T09:52:16.352398+00:00,10.515179,"1.808,kg,",1.808000,kg,1
1780998736.368401,2026-06-09T09:52:16.368401+00:00,10.531183,"1.500,kg,",1.500000,kg,1
1780998736.400432,2026-06-09T09:52:16.400432+00:00,10.563213,"0.981,kg,",0.981000,kg,1
1780998736.416445,2026-06-09T09:52:16.416445+00:00,10.579226,"0.640,kg,",0.640000,kg,1
1780998736.448425,2026-06-09T09:52:16.448425+00:00,10.611206,"0.400,kg,",0.400000,kg,1
1780998736.481494,2026-06-09T09:52:16.481494+00:00,10.644275,"0.236,kg,",0.236000,kg,1
1780998736.496471,2026-06-09T09:52:16.496471+00:00,10.659252,"0.117,kg,",0.117000,kg,1
1780998736.531394,2026-06-09T09:52:16.531394+00:00,10.694175,"0.015,kg,",0.015000,kg,1
1780998736.544513,2026-06-09T09:52:16.544513+00:00,10.707294,"0.007,kg,",0.007000,kg,1
1780998736.576560,2026-06-09T09:52:16.576560+00:00,10.739341,"0.001,kg,",0.001000,kg,1
1780998736.592577,2026-06-09T09:52:16.592577+00:00,10.755359,"0.004,kg,",0.004000,kg,1
1780998736.624603,2026-06-09T09:52:16.624603+00:00,10.787384,"0.008,kg,",0.008000,kg,1
1780998736.656801,2026-06-09T09:52:16.656801+00:00,10.819582,"0.001,kg,",0.001000,kg,1
1780998736.672623,2026-06-09T09:52:16.672623+00:00,10.835404,"0.004,kg,",0.004000,kg,1
1780998736.706375,2026-06-09T09:52:16.706375+00:00,10.869157,"0.001,kg,",0.001000,kg,1
1780998736.720626,2026-06-09T09:52:16.720626+00:00,10.883407,"0.003,kg,",0.003000,kg,1
1780998736.752723,2026-06-09T09:52:16.752723+00:00,10.915505,"0.004,kg,",0.004000,kg,1
1780998736.768666,2026-06-09T09:52:16.768666+00:00,10.931447,"0.005,kg,",0.005000,kg,1
1780998736.800700,2026-06-09T09:52:16.800700+00:00,10.963481,"0.004,kg,",0.004000,kg,1
1780998736.816798,2026-06-09T09:52:16.816798+00:00,10.979580,"0.002,kg,",0.002000,kg,1
1780998736.848804,2026-06-09T09:52:16.848804+00:00,11.011585,"-0.000,kg,",-0.000000,kg,1
1780998736.880792,2026-06-09T09:52:16.880792+00:00,11.043574,"0.009,kg,",0.009000,kg,1
1780998736.896801,2026-06-09T09:52:16.896801+00:00,11.059583,"0.005,kg,",0.005000,kg,1
1780998736.928881,2026-06-09T09:52:16.928881+00:00,11.091662,"0.003,kg,",0.003000,kg,1
1780998736.944834,2026-06-09T09:52:16.944834+00:00,11.107615,"0.001,kg,",0.001000,kg,1
1780998736.976885,2026-06-09T09:52:16.976885+00:00,11.139666,"0.002,kg,",0.002000,kg,1
1780998736.992890,2026-06-09T09:52:16.992890+00:00,11.155671,"0.314,kg,",0.314000,kg,1
1780998737.024890,2026-06-09T09:52:17.024890+00:00,11.187672,"0.291,kg,",0.291000,kg,1
1780998737.056931,2026-06-09T09:52:17.056931+00:00,11.219712,"0.281,kg,",0.281000,kg,1
1780998737.072945,2026-06-09T09:52:17.072945+00:00,11.235726,"0.250,kg,",0.250000,kg,1
1780998737.104977,2026-06-09T09:52:17.104977+00:00,11.267758,"0.238,kg,",0.238000,kg,1
